Thickness_mm,Transmitted_Fraction,Photon_Count,Uncertainty
0.1,4.964587E-01,4.964566E+07,1.5E-04
0.2,4.954930E-01,4.954856E+07,1.5E-04
0.3,4.945540E-01,4.945400E+07,1.5E-04
0.4,4.936572E-01,4.936362E+07,1.5E-04
0.5,4.927353E-01,4.927071E+07,1.5E-04
0.6,4.919270E-01,4.918902E+07,1.5E-04
0.7,4.911187E-01,4.910725E+07,1.5E-04
0.8,4.904170E-01,4.903640E+07,1.5E-04
0.9,4.896313E-01,4.895683E+07,1.5E-04
1.0,4.888475E-01,4.887764E+07,1.5E-04
1.1,4.880858E-01,4.880087E+07,1.5E-04
1.2,4.874250E-01,4.873380E+07,1.5E-04
1.3,4.867354E-01,4.866425E+07,1.5E-04
1.4,4.861424E-01,4.860422E+07,1.5E-04
1.5,4.854250E-01,4.853170E+07,1.5E-04
