Thickness_mm,Transmitted_Fraction,Photon_Count,Uncertainty
0.1,4.962814E-01,4.962792E+07,1.5E-04
0.2,4.951292E-01,4.951227E+07,1.5E-04
0.3,4.940013E-01,4.939899E+07,1.5E-04
0.4,4.929891E-01,4.929726E+07,1.5E-04
0.5,4.920018E-01,4.919799E+07,1.5E-04
0.6,4.910235E-01,4.909966E+07,1.5E-04
0.7,4.900881E-01,4.900557E+07,1.5E-04
0.8,4.892170E-01,4.891790E+07,1.5E-04
0.9,4.882911E-01,4.882490E+07,1.5E-04
1.0,4.874749E-01,4.874277E+07,1.5E-04
1.1,4.866018E-01,4.865512E+07,1.5E-04
1.2,4.857993E-01,4.857446E+07,1.5E-04
1.3,4.850069E-01,4.849478E+07,1.5E-04
1.4,4.842358E-01,4.841728E+07,1.5E-04
1.5,4.834788E-01,4.834128E+07,1.5E-04
